"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","negLogP","PointSize","Significance"
"rassf2b",38.1936632407199,-0.00842309741882005,2.08678994750462,-0.00403638968497638,0.996779435734118,NA,"rassf2b",0.00140093039530093,0.000700465197650463,"No significativo"
"foxq2",5.26138025805666,0.0596807752758025,4.6006751302339,0.0129721776883577,NA,NA,"foxq2",NA,NA,"No significativo"
"gpx7",12.9832644617775,1.15444182151164,2.76729386368324,0.41717355596456,0.676551465996985,NA,"gpx7",0.16969916056181,0.0848495802809048,"No significativo"
"syncrip",7345.56603574388,0.473700395731693,0.158367015622552,2.99115566375703,0.00277923780319167,0.0383983081002256,"syncrip",2.5560742915834,1.2780371457917,"No significativo"
"gpr182",170.076137322868,1.69711516234568,1.62725992552788,1.04292813687718,0.296981577028016,0.608017253542539,"gpr182",0.5272704908957,0.26363524544785,"No significativo"
"gpr184",1.50923197428181,-3.51073631627274,4.77388421099124,-0.735404580653575,0.462093132971573,NA,"gpr184",0.335270485354293,0.167635242677146,"No significativo"
"rab1ba",8117.21255103782,-1.10925227318845,0.281389998246969,-3.94204584419837,8.0789529212132e-05,0.00346861274860446,"rab1ba",4.09264492264205,2.04632246132103,"Negativo"
"rab1bb",1073.58255847448,-0.388589788959438,0.557365567976156,-0.697190159001823,0.485683796789801,0.766167167593568,"rab1bb",0.313646385063426,0.156823192531713,"No significativo"
"gnat1",23.8753444166726,5.32107018246987,3.4812613687818,1.52848913620406,0.126391138801791,NA,"gnat1",0.898283373081999,0.449141686540999,"No significativo"
"vps53",82.255247871948,-0.300470978346303,0.672349578604762,-0.446896953471482,0.654949463752114,NA,"vps53",0.183792209107936,0.0918961045539681,"No significativo"
"vps51",766.679998796374,-0.209544407077319,0.549186550220584,-0.38155414948373,0.702792098990452,0.885702092092424,"vps51",0.15317312962429,0.0765865648121452,"No significativo"
"vps50",565.628682188546,-0.552235579485873,0.250008594633913,-2.20886638035188,0.0271839362433552,0.158298842869191,"vps50",1.56568765705918,0.782843828529589,"No significativo"
"vps54",1363.37816886413,0.456989796481462,0.270753075749666,1.68784711019862,0.0914405815988435,0.323135322597233,"vps54",1.03886102031657,0.519430510158284,"No significativo"
"gb:bc139872",1927.03555205413,0.0642286743722226,0.314212134197761,0.204411820492578,0.83803169378199,0.947634489946008,"gb:bc139872",0.0767395563406723,0.0383697781703362,"No significativo"
"rfc5",421.462516794706,-1.53193930884124,0.373927876784477,-4.09688446342879,4.18747763451179e-05,0.00228470913485528,"rfc5",4.37804749953338,2.18902374976669,"Negativo"
"rfc4",780.904357121227,0.86418322614405,0.353588283233952,2.44403807230304,0.01452389376159,0.107118201292309,"rfc4",1.83791693649585,0.918958468247927,"No significativo"
"crb1",33.833050385054,0.746146616168575,1.09788427659071,0.679622280852406,0.496743658025381,NA,"crb1",0.303867668862663,0.151933834431332,"No significativo"
"rfc3",117.223845751267,-1.05674620787077,1.84723964244328,-0.572067740205622,NA,NA,"rfc3",NA,NA,"No significativo"
"rfc2",474.504353187532,-0.634499032161443,0.390986821707883,-1.62281436849934,0.10462909324237,0.346578813887911,"rfc2",0.980347538434275,0.490173769217138,"No significativo"
"cdk5r1b",10278.9683319051,-0.524338353811297,0.242981979726094,-2.15793103012153,0.0309331945161953,0.171171669396466,"cdk5r1b",1.50957522745508,0.754787613727539,"No significativo"
"ciz1a",178.828533752625,-0.484776088496316,0.521499856316447,-0.929580483339871,0.352588336266506,0.6648187735987,"ciz1a",0.452732058397666,0.226366029198833,"No significativo"
"ciz1b",437.973262017135,-0.0623172539360082,0.578582742656871,-0.107706727735856,0.914228332601898,0.974250290854857,"ciz1b",0.038945323735821,0.0194726618679105,"No significativo"
"zgc:85722",10555.4275711396,0.569988668851104,0.212205561587099,2.68602134924326,0.00723084684048025,0.0679982072045213,"zgc:85722",2.14081083733747,1.07040541866874,"No significativo"
"bcl2l1",1385.39165262493,-0.882945423411761,0.344718286596111,-2.56135359725277,0.0104265175845221,0.085105184258386,"bcl2l1",1.98186071998808,0.99093035999404,"No significativo"
"tnnt1",1049.44386496757,-0.708093788206915,0.682037566668331,-1.03820349906218,0.299175323979685,0.610465894523578,"tnnt1",0.524074229996753,0.262037114998377,"No significativo"
"fign",49.0724253544147,-0.957038849050135,1.14574824838606,-0.835295930321738,0.403551108235389,NA,"fign",0.394101455690292,0.197050727845146,"No significativo"
"gcgb",17.8590390629659,-0.391495481480414,2.25753368397439,-0.173417337805205,0.862323397973742,NA,"gcgb",0.0643298297488129,0.0321649148744064,"No significativo"
"sostdc1a",22.0128255766472,-0.787162752936126,1.83725566735056,-0.428444863131795,0.668327267915914,NA,"sostdc1a",0.175010819193789,0.0875054095968943,"No significativo"
"phf20b",754.871565372641,0.0308068396474492,0.306114615840834,0.100638251338732,0.919837630660767,0.975678228646651,"phf20b",0.0362888273625201,0.0181444136812601,"No significativo"
"cbfa2t2",1313.7501853643,0.0585752467516025,0.437650369865471,0.133840277044911,0.893528877226217,0.9681388867424,"cbfa2t2",0.0488914073247145,0.0244457036623573,"No significativo"
"sctr",3.95939575012651,-1.00232823461599,4.13611451113318,-0.242335707079197,0.808520047928125,NA,"sctr",0.0923092069306011,0.0461546034653005,"No significativo"
"cnnm2a",215.515646897086,-1.068024942776,0.647056216679225,-1.65059065231958,0.0988221888927335,0.33803631784384,"cnnm2a",1.00514553079969,0.502572765399847,"No significativo"
"igfbp1a",362.66203440811,0.390487306798467,0.386719826582288,1.00974214394301,0.312618845532523,0.62623319897058,"igfbp1a",0.504984845049763,0.252492422524882,"No significativo"
"pycr3",40.155358026919,0.304109847525289,1.33416725728319,0.227939822286268,0.819693023788499,NA,"pycr3",0.0863487610742342,0.0431743805371171,"No significativo"
"pycr1",32.3080402805409,-1.55820311526445,2.51917989059165,-0.618535866010938,0.536222163091034,NA,"pycr1",0.270655239757803,0.135327619878902,"No significativo"
"b3gnt3.4",140.312054705565,-2.74307221439498,1.31151815346522,-2.091524396477,0.0364810818213536,NA,"b3gnt3.4",1.43793229144894,0.71896614572447,"Negativo"
