"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15"
"F1_1_1",-27.4048893820944,22.6209554571146,3.67356806486953,-11.6064521401431,23.6653579450303,-0.640825905379332,14.659632468067,6.50591414193185,1.33984325887288,-53.9306767309596,-30.2868648577445,36.6621399924351,-10.108836391543,-3.52148503800803,1.26056757805519e-13
"F1_2_1",2.36351301201305,48.8643019179484,-0.479249566933087,-19.2070130183755,48.3854348685978,-5.28642954149662,-17.6514375538466,27.1391841872491,51.0083921495924,10.3593776946669,36.6925454620582,7.55760392069991,0.180224464907211,0.357564497022536,1.17527095369087e-13
"F1_3_1",-33.3030680685268,21.7519185129875,-0.0439932223584124,-14.9940353034846,35.0630619518954,-4.30669728385116,12.9848790012255,15.6615318795478,3.194717575583,11.8581350529084,-44.9548821450817,-46.8652888846077,11.2117108163099,-3.78209746440498,-6.51985605346121e-14
"F4_2_1",50.5500072007716,-17.3876858393623,-32.4155279089364,4.05810800727807,10.5481705316002,-36.4953136411058,-23.7774798204522,35.4340549149709,-51.8683910076259,-20.1684258402116,21.1011822908233,-14.0549141107657,-2.82566117164715,0.399713966348052,8.40620941724903e-14
"F4_3",-0.34008233037853,-6.26397211088355,-17.1456471848883,6.33285892764429,5.1774774677787,-12.3268730314114,-16.892133130003,8.09682987695058,-18.08084412206,52.440692732077,-27.4468557046507,38.8499437492033,-4.30871943860689,12.6909789560155,7.24268819967061e-15
"F4_6_1",55.0127674328951,-24.457383548096,-34.2318017050583,-14.3250260949777,30.9622652718776,-29.9184176997296,36.8804279436369,-63.7711659933106,0.673181871222762,4.45595787317194,11.533708949141,-1.59854923177182,-2.36943565918691,0.622422155804674,5.92343963592631e-14
"F5_1_1",-14.9348510498144,64.1780188105003,6.58879360263001,-51.5883285837945,-61.5108321751038,-12.2124997364386,47.4310950234952,18.3720562230488,-8.511661037769,8.85775815964073,13.7991166555449,3.07559996865991,4.75795575110776,1.47109930074853,1.56001432475086e-13
"F5_2_1",56.1842976032097,78.7418944902695,20.6268208045876,97.042849078617,-7.19287920513423,5.26092236697623,20.9438786937894,-0.363749470334301,1.51647235540327,0.773901841098407,1.8179753623486,-2.99969045046431,-0.0985227238223328,-0.752923243400833,9.62531886605691e-14
"F5_3_1",0.852652636130109,83.635730297133,23.1333149773551,-25.7660953677855,-19.3451083398548,8.39394960627226,-60.2187452297034,-44.5973455859041,-11.1515105410828,-6.07629801912006,-3.65422403560122,-7.72528215001343,-0.554592126969229,-2.4039928228594,-4.79056451083669e-13
"M1_1",-111.707489501471,-28.6905795193026,5.89592962101607,14.0705745811742,-0.43969395149836,19.4035591897978,5.4057983746156,-6.23032721888119,-4.52498476737922,-1.75355803095643,15.1081769638991,-15.2167449220609,-34.7724894672685,32.5904660809648,9.45406405071514e-14
"M1_4_1",-85.3063613510237,-39.0591077713366,-0.619690948300937,15.8309088001169,-5.82642320099304,5.44226299243471,-0.727829287249401,-3.41876978032139,-6.00783852479621,12.0609108249196,11.4081842570664,3.12199653938567,-9.59830452865111,-51.9287949495881,-4.42398701493932e-15
"M1_7",-72.7783568082828,-39.4309257768624,1.10242967768461,17.1818861972048,0.274671604288304,10.9158913827353,-3.20195061725552,-8.5668797245472,-5.48781759192664,-9.53489274423943,12.4981915428124,8.77287315336883,54.3728399197811,12.8385248856184,3.59734215072544e-15
"M4_12",78.8878807281092,-79.5449213119871,102.230872623799,-17.4762352356908,5.35034411466864,6.95493144340004,3.28566689622699,5.21530123771719,-3.15401403426754,3.39154853119195,0.841406964901018,0.165450085442823,-2.04317995249881,0.491091902916021,-7.0025867157826e-14
"M4_6_1",80.1691181083873,-23.4366115024895,-53.7362296372399,-14.4833192166382,-9.63197010761795,81.4103491332995,1.57082784563727,7.4794308391048,2.04161062183525,-1.24621877565373,-1.91140600024471,-2.3501864435926,-0.966827974041328,-2.07008228240732,-4.24945452090486e-14
"M4_9",21.754861770076,-61.521632105633,-24.5795891982266,14.9293193688551,-55.4798767755353,-36.5948092755035,-20.6926306081836,3.04393447277852,49.0128437943976,-11.4882125685339,-16.5462557052725,-7.39495121591929,-2.87616151787076,2.99751405523005,-7.39086526355126e-14
